symbol,direction,model,entry_ts,exit_ts,entry_price,exit_price,size_usdt,pnl,r_value,exit_reason,bars_held
BTC/USDT,short,swing_low_continuation,2022-06-12 22:30:00+00:00,2022-06-13 00:30:00+00:00,27229.96,26299.31312278,41069.86,1403.6575,1.4641,tp,4
SOL/USDT,short,swing_low_continuation,2022-06-12 22:30:00+00:00,2022-06-13 01:00:00+00:00,31.91,29.46354611,41069.86,3148.7157,1.4323,tp,5
BTC/USDT,short,swing_low_continuation,2022-06-13 01:00:00+00:00,2022-06-13 02:00:00+00:00,26307.16,25536.17386607,41561.14,1218.0358,0.8,tp,2
ETH/USDT,short,swing_low_continuation,2022-06-13 01:00:00+00:00,2022-06-13 03:00:00+00:00,1387.31,1323.13224318,41561.14,1922.6422,0.798,tp,4
BTC/USDT,short,swing_low_continuation,2022-06-13 02:30:00+00:00,2022-06-13 08:30:00+00:00,25784.81,24485.95624166,43089.51,2170.5404,2.0752,tp,12
SOL/USDT,short,swing_low_continuation,2022-06-13 02:30:00+00:00,2022-06-13 08:30:00+00:00,29.29,26.41355296,43089.51,4231.6386,1.7322,tp,12
SOL/USDT,short,swing_low_continuation,2022-06-13 09:00:00+00:00,2022-06-13 16:00:00+00:00,26.26,29.07306559,46003.2,-4928.0281,-1.0,sl,14
ETH/USDT,short,swing_low_continuation,2022-06-14 00:30:00+00:00,2022-06-14 02:00:00+00:00,1198.26,1080.21080912,44278.39,4362.1819,1.3165,tp,3
BTC/USDT,short,swing_low_continuation,2022-06-14 20:30:00+00:00,2022-06-15 05:00:00+00:00,21933.04,20854.95856028,45805.15,2251.4746,0.7307,tp,17
BTC/USDT,short,swing_low_continuation,2022-06-15 07:30:00+00:00,2022-06-15 18:30:00+00:00,21093.49,22124.09069606,46593.17,-2276.4821,-1.0,sl,22
BTC/USDT,short,swing_low_continuation,2022-06-18 15:30:00+00:00,2022-06-18 18:00:00+00:00,19096.81,18337.75143051,45796.4,1820.3119,1.2107,tp,5
ETH/USDT,short,swing_low_continuation,2022-06-18 16:30:00+00:00,2022-06-18 18:00:00+00:00,997.08,941.34455934,45796.4,2559.9576,1.5401,tp,3
ETH/USDT,short,swing_low_continuation,2022-06-18 18:30:00+00:00,2022-06-18 20:00:00+00:00,942.29,894.47719657,47329.49,2401.549,0.9377,tp,3
ETH/USDT,short,swing_low_continuation,2022-06-18 20:30:00+00:00,2022-06-18 21:00:00+00:00,902.28,965.2245139,48170.03,-3360.4193,-1.0,sl,1
BTC/USDT,short,swing_low_continuation,2022-06-18 18:30:00+00:00,2022-06-18 22:00:00+00:00,18262.51,19046.10954955,47329.49,-2030.7924,-1.0,sl,7
