symbol,model,direction,entry_ts,exit_ts,entry_price,exit_price,pnl
SOL/USDT,slc,short,2022-06-13 09:00:00+00:00,2022-06-13 16:00:00+00:00,26.26,29.073065588378093,-5008.81632710409
ETH/USDT,slc,short,2022-06-13 09:00:00+00:00,2022-06-14 01:30:00+00:00,1206.93,1118.7548295917536,3415.97115890312
ETH/USDT,slc,short,2022-06-14 02:00:00+00:00,2022-06-14 05:00:00+00:00,1102.51,1225.0279894114453,-5216.456577654192
BTC/USDT,slc,short,2022-06-15 07:30:00+00:00,2022-06-15 18:30:00+00:00,21093.49,22124.09069606005,-2204.3037508104353
BTC/USDT,slc,short,2022-06-18 15:30:00+00:00,2022-06-18 18:00:00+00:00,19096.81,18337.751430506836,1762.5969037188056
ETH/USDT,slc,short,2022-06-18 16:30:00+00:00,2022-06-18 18:00:00+00:00,997.08,941.3445593413087,2478.7913759923294
ETH/USDT,slc,short,2022-06-18 18:30:00+00:00,2022-06-18 20:00:00+00:00,942.29,894.4771965749038,2325.4054884772527
ETH/USDT,slc,short,2022-06-18 20:30:00+00:00,2022-06-18 21:00:00+00:00,902.28,965.2245138956713,-3253.873996802553
BTC/USDT,slc,short,2022-06-18 18:30:00+00:00,2022-06-18 22:00:00+00:00,18262.51,19046.109549551966,-1966.404130149542
SOL/USDT,pbl,long,2022-06-22 01:30:00+00:00,2022-06-22 03:30:00+00:00,36.37,34.55812720909965,-2232.6166492901616
ETH/USDT,pbl,long,2022-06-25 17:30:00+00:00,2022-06-25 21:30:00+00:00,1198.15,1237.6084812240172,1450.1725453343618
SOL/USDT,pbl,long,2022-06-25 13:30:00+00:00,2022-06-25 23:00:00+00:00,40.81,42.59552021606989,1926.5872544043739
SOL/USDT,pbl,long,2022-06-26 13:30:00+00:00,2022-06-26 18:00:00+00:00,41.14,39.735504207999334,-1543.651692119758
ETH/USDT,pbl,long,2022-06-26 20:00:00+00:00,2022-06-26 23:30:00+00:00,1226.11,1197.316624734011,-1049.1455729036686
BTC/USDT,slc,short,2022-06-28 01:30:00+00:00,2022-06-28 08:30:00+00:00,20662.22,21108.724349983295,-957.4960812609139
SOL/USDT,slc,short,2022-06-29 05:30:00+00:00,2022-06-29 17:00:00+00:00,35.44,33.608529546075026,2272.465352999156
BTC/USDT,slc,short,2022-06-28 19:30:00+00:00,2022-06-30 06:00:00+00:00,20302.94,19849.67049669368,981.7222537459651
SOL/USDT,slc,short,2022-06-30 00:30:00+00:00,2022-06-30 06:30:00+00:00,33.81,31.855760772085553,2587.6685752867306
ETH/USDT,slc,short,2022-06-30 00:30:00+00:00,2022-06-30 06:30:00+00:00,1098.1,1059.0006090399793,1594.058284904629
ETH/USDT,slc,short,2022-06-30 07:00:00+00:00,2022-06-30 09:00:00+00:00,1060.72,1026.685889615197,1494.4332371133062
BTC/USDT,slc,short,2022-06-30 09:30:00+00:00,2022-06-30 20:30:00+00:00,18962.87,18729.142938270532,580.5207810419289
SOL/USDT,slc,short,2022-06-30 07:00:00+00:00,2022-06-30 23:30:00+00:00,31.85,33.73826985578037,-2761.3248161829893
ETH/USDT,slc,short,2022-06-30 09:30:00+00:00,2022-06-30 23:30:00+00:00,1018.48,1073.226409673566,-2531.7217757215008
ETH/USDT,pbl,long,2022-07-06 06:00:00+00:00,2022-07-06 22:00:00+00:00,1131.86,1177.549470094687,1834.6567438010572
SOL/USDT,pbl,long,2022-07-06 12:30:00+00:00,2022-07-06 23:00:00+00:00,35.71,37.33526683213472,2068.5510100694432
BTC/USDT,pbl,long,2022-07-08 13:30:00+00:00,2022-07-08 15:00:00+00:00,21381.49,21960.53732342927,1267.8536703991308
SOL/USDT,pbl,long,2022-07-09 20:00:00+00:00,2022-07-10 00:30:00+00:00,38.41,37.60168483462954,-994.5498955653634
ETH/USDT,pbl,long,2022-07-08 17:30:00+00:00,2022-07-10 02:00:00+00:00,1226.28,1190.550465249178,-1376.9807604503933
BTC/USDT,pbl,long,2022-07-09 20:00:00+00:00,2022-07-10 02:00:00+00:00,21621.49,21262.60331329592,-784.4438909156793
ETH/USDT,slc,short,2022-07-10 14:30:00+00:00,2022-07-11 13:30:00+00:00,1165.07,1136.537581495913,1130.3306983542618
SOL/USDT,slc,short,2022-07-11 01:30:00+00:00,2022-07-11 13:30:00+00:00,35.64,34.64705693569764,1285.895296989351
ETH/USDT,slc,short,2022-07-11 14:00:00+00:00,2022-07-11 22:00:00+00:00,1136.49,1112.1679830762384,1005.8617612294535
BTC/USDT,slc,short,2022-07-11 14:00:00+00:00,2022-07-11 22:30:00+00:00,20377.32,19982.930793615385,909.6666769821845
SOL/USDT,slc,short,2022-07-11 14:00:00+00:00,2022-07-11 22:30:00+00:00,34.8,33.768050350054516,1393.7458744092191
ETH/USDT,slc,short,2022-07-11 23:00:00+00:00,2022-07-12 07:00:00+00:00,1098.72,1070.8435769363803,1221.875607278606
BTC/USDT,slc,short,2022-07-11 23:00:00+00:00,2022-07-12 09:30:00+00:00,20007.25,19610.34462198293,955.3809179029524
ETH/USDT,slc,short,2022-07-12 10:00:00+00:00,2022-07-12 16:00:00+00:00,1054.58,1085.2560399964038,-1423.0329915535387
BTC/USDT,slc,short,2022-07-12 10:00:00+00:00,2022-07-12 22:00:00+00:00,19601.29,19241.963057140147,896.8097735852524
SOL/USDT,slc,short,2022-07-11 23:00:00+00:00,2022-07-13 00:00:00+00:00,33.53,32.46027686296708,1536.437200643443
BTC/USDT,slc,short,2022-07-12 23:30:00+00:00,2022-07-13 07:30:00+00:00,19366.17,19825.08210084324,-1154.8959357917263
ETH/USDT,slc,short,2022-07-12 23:30:00+00:00,2022-07-13 07:30:00+00:00,1042.26,1072.3419208438602,-1406.6517044667041
BTC/USDT,pbl,long,2022-07-16 04:00:00+00:00,2022-07-16 16:00:00+00:00,20738.0,21120.87324592249,893.1743351695254
SOL/USDT,pbl,long,2022-07-16 04:00:00+00:00,2022-07-16 16:00:00+00:00,37.22,38.39472522524916,1526.8909153964796
SOL/USDT,pbl,long,2022-07-17 20:30:00+00:00,2022-07-18 02:30:00+00:00,39.06,40.51780042671568,1837.180945874443
SOL/USDT,pbl,long,2022-07-20 02:30:00+00:00,2022-07-20 17:00:00+00:00,44.91,43.19846163966636,-1900.491878352687
SOL/USDT,slc,short,2022-07-21 02:30:00+00:00,2022-07-21 16:00:00+00:00,40.72,42.93907822116788,-2681.3616711790496
BTC/USDT,pbl,long,2022-07-22 05:00:00+00:00,2022-07-22 09:00:00+00:00,22968.45,23481.466856861265,1078.0202559165139
SOL/USDT,pbl,long,2022-07-21 23:00:00+00:00,2022-07-22 16:30:00+00:00,42.78,41.28257725098244,-1689.3927283985088
ETH/USDT,pbl,long,2022-07-22 16:30:00+00:00,2022-07-22 19:30:00+00:00,1578.74,1530.743365350409,-1478.798647682437
SOL/USDT,slc,short,2022-07-23 17:30:00+00:00,2022-07-24 05:00:00+00:00,39.69,40.96106454121611,-1522.2301946740972
