symbol,direction,entry_time,exit_time,entry_price,exit_price,size_usdt,pnl_usdt,exit_reason,r_multiple,regime
BTC/USDT,long,2024-10-28 20:30:00+00:00,2024-10-28 22:00:00+00:00,69476.72099999999,70251.00415804103,1308.4935971767147,12.227215421580857,partial_close,1.0,bull_trend
BTC/USDT,long,2024-10-28 20:30:00+00:00,2024-10-29 02:00:00+00:00,69476.72099999999,70921.12431608209,2656.638515479996,50.44888808299668,take_profit,1.8654716960865825,bull_trend
BNB/USDT,long,2024-10-28 23:30:00+00:00,2024-10-29 02:00:00+00:00,600.6001499999999,605.8963973033244,1194.1156594896788,8.38061222904706,partial_close,1.0,bull_trend
BNB/USDT,long,2024-10-28 23:30:00+00:00,2024-10-29 02:30:00+00:00,600.6001499999999,610.2921946066492,2424.416641994196,34.75950720523662,take_profit,1.8299833923097732,bull_trend
BTC/USDT,long,2024-10-29 04:00:00+00:00,2024-10-29 13:30:00+00:00,70973.619075,71823.73823969255,1309.2999858454202,13.326002779834353,partial_close,1.0,bull_trend
XRP/USDT,long,2024-10-29 03:00:00+00:00,2024-10-29 14:00:00+00:00,0.5239618500000001,0.5288564651079686,1215.8921689737726,9.169709934909982,partial_close,1.0,bull_trend
ETH/USDT,long,2024-10-29 07:30:00+00:00,2024-10-29 14:00:00+00:00,2618.898795,2643.3384781934556,1295.9339122471758,9.761033428878857,partial_close,1.0,bull_trend
XRP/USDT,long,2024-10-29 03:00:00+00:00,2024-10-29 15:00:00+00:00,0.5239618500000001,0.5239618500000001,2468.6295551891744,-4.443533199340514,stop_loss,0.0,bull_trend
BTC/USDT,long,2024-10-29 04:00:00+00:00,2024-10-29 16:00:00+00:00,70973.619075,72567.45017938511,2658.275728837671,54.911123080541195,take_profit,1.8748325771029002,bull_trend
ETH/USDT,long,2024-10-29 07:30:00+00:00,2024-10-29 16:30:00+00:00,2618.898795,2663.8517763869113,2631.138549107902,40.427025431544415,take_profit,1.8393438667383721,bull_trend
BNB/USDT,long,2024-10-29 04:00:00+00:00,2024-10-29 17:00:00+00:00,605.80275,611.6841544095153,1194.6660032156594,9.447953792001462,partial_close,1.0,bull_trend
BNB/USDT,long,2024-10-29 04:00:00+00:00,2024-10-29 18:00:00+00:00,605.80275,605.80275,2425.534006528763,-4.365961211751773,stop_loss,0.0,bull_trend
XRP/USDT,long,2024-10-29 18:00:00+00:00,2024-10-29 20:00:00+00:00,0.52916445,0.5246976376271907,3684.651818884783,-37.735461045835436,stop_loss,-1.0,bull_trend
ETH/USDT,long,2024-10-29 18:00:00+00:00,2024-10-29 20:00:00+00:00,2657.30799,2620.856356047066,3929.0171505501135,-60.968540785239625,stop_loss,-1.0,bull_trend
BTC/USDT,long,2024-10-29 19:30:00+00:00,2024-10-29 20:00:00+00:00,72896.32994999998,71972.70715941925,3970.241718506072,-57.45082953733629,stop_loss,-1.0,bull_trend
ETH/USDT,long,2024-10-30 09:00:00+00:00,2024-10-30 09:30:00+00:00,2664.2714699999997,2692.4796700351158,1295.7501297326173,11.38651410391507,partial_close,1.0,bull_trend
ETH/USDT,long,2024-10-30 09:00:00+00:00,2024-10-30 11:00:00+00:00,2664.2714699999997,2664.2714699999997,2630.7654149116775,-4.735377746841019,stop_loss,0.0,bull_trend
ETH/USDT,long,2024-10-30 11:30:00+00:00,2024-10-30 13:30:00+00:00,2668.6236449999997,2699.031488962868,1295.8171927304552,12.432820919840635,partial_close,1.0,bull_trend
ETH/USDT,long,2024-10-30 11:30:00+00:00,2024-10-30 17:30:00+00:00,2668.6236449999997,2668.6236449999997,2630.9015731194086,-4.735622831614935,stop_loss,0.0,bull_trend
BNB/USDT,short,2024-10-31 04:00:00+00:00,2024-10-31 07:30:00+00:00,592.3037,587.6714669795783,1194.7139708616671,7.193021411304818,partial_close,1.0,bear_trend
BNB/USDT,short,2024-10-31 04:00:00+00:00,2024-10-31 08:00:00+00:00,592.3037,583.9281339591564,2425.631395385809,29.93389562181669,take_profit,1.8081055084921265,bear_trend
BTC/USDT,long,2024-10-30 23:30:00+00:00,2024-10-31 13:30:00+00:00,72659.18143499999,71870.99377026827,3967.880161457083,-50.18470330374934,stop_loss,-1.0,bull_trend
BNB/USDT,short,2024-10-31 11:00:00+00:00,2024-10-31 14:00:00+00:00,585.9069000000001,580.9708511769514,1195.1849307429707,7.917657898997772,partial_close,1.0,bear_trend
BNB/USDT,short,2024-10-31 11:00:00+00:00,2024-10-31 14:30:00+00:00,585.9069000000001,576.9141023539029,2426.5875866599704,32.876645075358,take_profit,1.8218615675164695,bear_trend
XRP/USDT,short,2024-10-31 17:00:00+00:00,2024-10-31 18:00:00+00:00,0.51024475,0.5042710670315186,1215.4175371845697,12.041731522258058,partial_close,1.0,bear_trend
BNB/USDT,short,2024-10-31 16:00:00+00:00,2024-10-31 20:00:00+00:00,580.40965,572.9016198469991,1195.7042925833402,13.3150558831287,partial_close,1.0,bear_trend
XRP/USDT,short,2024-10-31 17:00:00+00:00,2024-10-31 21:30:00+00:00,0.51024475,0.51024475,2467.665908829277,-4.441798635892699,stop_loss,-0.0,bear_trend
BTC/USDT,short,2024-10-31 20:30:00+00:00,2024-11-01 01:30:00+00:00,70158.64313000001,69323.12365207479,1308.7170647899754,13.229824480686366,partial_close,1.0,bear_trend
ETH/USDT,short,2024-10-31 22:00:00+00:00,2024-11-01 02:00:00+00:00,2523.7874750000005,2489.6031592592008,1295.8980626701361,15.22012474652133,partial_close,1.0,bear_trend
BNB/USDT,short,2024-10-31 16:00:00+00:00,2024-11-01 03:00:00+00:00,580.40965,580.40965,2427.6420485782965,-4.369755687440933,stop_loss,-0.0,bear_trend
SOL/USDT,short,2024-11-01 08:00:00+00:00,2024-11-01 10:00:00+00:00,165.87702000000002,167.88916824457448,4006.6421317199765,-55.81397395858397,stop_loss,-1.0,bear_trend
ETH/USDT,short,2024-10-31 22:00:00+00:00,2024-11-01 10:30:00+00:00,2523.7874750000005,2523.7874750000005,2631.0657636030032,-4.735918374485405,stop_loss,-0.0,bear_trend
BTC/USDT,short,2024-10-31 20:30:00+00:00,2024-11-01 11:00:00+00:00,70158.64313000001,70158.64313000001,2657.092222452374,-4.782766000414273,stop_loss,-0.0,bear_trend
BNB/USDT,short,2024-11-01 22:00:00+00:00,2024-11-02 04:00:00+00:00,571.01435,576.8703628057333,3623.646179628006,-43.684708753029554,stop_loss,-1.0,bear_trend
SOL/USDT,short,2024-11-02 16:00:00+00:00,2024-11-02 20:00:00+00:00,163.73809,165.98489352746438,4004.3454664875253,-62.15519248074321,stop_loss,-1.0,bear_trend
XRP/USDT,short,2024-11-02 21:30:00+00:00,2024-11-03 00:00:00+00:00,0.50784595,0.510965851551651,3683.328513994166,-29.258157102726386,stop_loss,-1.0,bear_trend
BTC/USDT,short,2024-11-01 17:30:00+00:00,2024-11-03 02:00:00+00:00,70010.51723,68639.0908728126,1308.8076264888782,23.2821981889768,partial_close,1.0,bear_trend
ETH/USDT,short,2024-11-02 14:30:00+00:00,2024-11-03 02:00:00+00:00,2482.3582,2457.515016314463,1296.0157198252443,10.637562757049034,partial_close,1.0,bear_trend
BNB/USDT,short,2024-11-02 16:00:00+00:00,2024-11-03 02:30:00+00:00,566.5166,561.6615536534907,1195.2074682698737,8.091552628732066,partial_close,1.0,bear_trend
